ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,606,70,40,2003-07-01
2,0,695,80,42,2003-10-01
3,0,730,84,44,2004-01-01
4,0,846,111,48,2004-04-01
5,0,924,127,49,2004-07-01
6,0,925,127,49,2004-10-01
7,0,557,69,37,2003-04-01
8,0,1045,128,45,2006-01-01
9,0,953,131,50,2005-01-01
10,0,922,126,45,2005-04-01
11,0,1059,129,46,2005-07-01
12,0,1059,129,46,2005-10-01
13,0,1039,128,45,2006-04-01
14,0,1069,151,50,2008-04-01
15,0,1124,154,52,2008-07-01
16,0,1132,156,52,2008-10-01
17,0,953,128,45,2006-07-01
18,0,952,128,45,2006-10-01
19,0,972,130,46,2007-01-01
20,0,972,130,46,2007-04-01
21,0,972,130,46,2007-07-01
22,0,1069,151,50,2007-10-01
23,0,1069,151,50,2008-01-01
