ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,90,219,51,53,2003-07-01
2,90,219,51,55,2003-10-01
3,90,219,51,55,2004-01-01
4,87,231,56,57,2004-04-01
5,87,229,55,57,2004-07-01
6,87,229,55,57,2004-10-01
7,82,71,17,41,2003-04-01
8,87,242,55,57,2006-01-01
9,87,229,55,57,2005-01-01
10,87,229,55,57,2005-04-01
11,87,242,55,57,2005-07-01
12,87,242,55,57,2005-10-01
13,87,242,55,57,2006-04-01
14,87,245,55,59,2008-04-01
15,87,245,55,59,2008-07-01
16,87,245,55,59,2008-10-01
17,87,242,55,57,2006-07-01
18,87,245,55,57,2006-10-01
19,87,245,55,57,2007-01-01
20,87,245,55,57,2007-04-01
21,87,245,55,57,2007-07-01
22,87,245,55,59,2007-10-01
23,87,245,55,59,2008-01-01
