ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,92,4,14,2003-07-01
2,0,95,4,14,2003-10-01
3,0,96,4,14,2004-01-01
4,0,102,4,14,2004-04-01
5,0,99,4,14,2004-07-01
6,0,100,4,14,2004-10-01
7,0,90,4,14,2003-04-01
8,0,115,4,14,2006-01-01
9,0,101,4,14,2005-01-01
10,0,111,4,14,2005-04-01
11,0,112,4,14,2005-07-01
12,0,115,4,14,2005-10-01
13,0,111,4,14,2006-04-01
14,0,124,4,14,2008-04-01
15,0,126,4,14,2008-07-01
16,0,127,4,14,2008-10-01
17,0,111,4,14,2006-07-01
18,0,111,4,14,2006-10-01
19,0,114,4,14,2007-01-01
20,0,115,4,14,2007-04-01
21,0,118,4,14,2007-07-01
22,0,119,4,14,2007-10-01
23,0,119,4,14,2008-01-01
