ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,21,101,23,41,2003-07-01
2,19,107,24,42,2003-10-01
3,19,107,24,42,2004-01-01
4,19,105,24,42,2004-04-01
5,19,105,24,42,2004-07-01
6,19,105,24,42,2004-10-01
7,21,101,23,40,2003-04-01
8,60,105,24,44,2006-01-01
9,19,105,24,44,2005-01-01
10,19,104,24,44,2005-04-01
11,60,105,24,44,2005-07-01
12,60,105,24,44,2005-10-01
13,60,105,24,44,2006-04-01
14,77,121,27,48,2008-04-01
15,81,118,27,48,2008-07-01
16,82,121,28,49,2008-10-01
17,60,105,24,44,2006-07-01
18,77,121,27,48,2006-10-01
19,77,121,27,48,2007-01-01
20,77,121,27,48,2007-04-01
21,77,121,27,48,2007-07-01
22,77,121,27,48,2007-10-01
23,77,121,27,48,2008-01-01
