ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,50,51,11,19,2003-07-01
2,50,51,11,19,2003-10-01
3,50,51,11,19,2004-01-01
4,43,54,17,20,2004-04-01
5,43,54,17,20,2004-07-01
6,43,54,17,20,2004-10-01
7,50,51,11,19,2003-04-01
8,62,55,17,20,2006-01-01
9,43,54,17,20,2005-01-01
10,43,54,17,20,2005-04-01
11,62,55,17,20,2005-07-01
12,62,55,17,20,2005-10-01
13,62,55,17,20,2006-04-01
14,66,61,19,21,2008-04-01
15,66,61,19,21,2008-07-01
16,66,61,19,21,2008-10-01
17,62,55,17,20,2006-07-01
18,62,58,18,20,2006-10-01
19,62,58,18,20,2007-01-01
20,62,58,18,20,2007-04-01
21,62,58,18,20,2007-07-01
22,62,58,18,20,2007-10-01
23,62,58,18,20,2008-01-01
