ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,58,36,9,16,2003-07
2,58,36,9,16,2003-10
3,58,36,9,16,2004-01
4,58,36,9,16,2004-04
5,58,36,9,16,2004-07
6,58,36,9,16,2004-10
7,68,37,9,16,2006-01
8,58,36,9,16,2005-01
9,58,36,9,16,2005-04
10,68,37,9,16,2005-07
11,68,37,9,16,2005-10
12,68,37,9,16,2006-04
13,70,40,10,17,2008-04
14,70,40,10,17,2008-07
15,70,40,10,17,2008-10
16,68,37,9,16,2006-07
17,68,37,9,16,2006-10
18,68,37,9,16,2007-01
19,68,37,9,16,2007-04
20,68,37,9,16,2007-07
21,68,37,9,16,2007-10
22,70,40,10,17,2008-01
