ID,PercentLackOfCohesion,CountLineCode,SumCyclomatic,CountDeclMethodAll,Date
1,0,25,4,15,2003-07
2,0,25,4,15,2003-10
3,0,30,5,16,2004-01
4,0,30,5,16,2004-04
5,0,30,5,16,2004-07
6,0,30,5,16,2004-10
7,0,25,4,15,2003-04
8,0,40,6,17,2006-01
9,0,30,5,16,2005-01
10,0,38,6,17,2005-04
11,0,40,6,17,2005-07
12,0,40,6,17,2005-10
13,0,40,6,17,2006-04
14,0,40,6,17,2008-04
15,0,39,6,17,2008-07
16,0,39,6,17,2008-10
17,0,40,6,17,2006-07
18,0,40,6,17,2006-10
19,0,40,6,17,2007-01
20,0,40,6,17,2007-07
21,0,40,6,17,2007-10
22,0,40,6,17,2008-01
